ftime(hr)    y01   DS02   LG02   HWFI   AVNI   VMXC   DV12   SLAT   SSTN   SHDC   DTL 
  12       -16.8    6.2    5.2   -7.8   -3.8   56.8    0.0   23.2   28.6   18.1   51.0
  12       -12.5   -1.5   -1.5   -1.5    4.5   37.5  -10.0   23.6   28.1   15.2  -56.0
  12        -0.8    1.2    0.2    4.2   -5.8   30.8    0.0   25.9   27.9    5.4 1883.0
  12        -1.0    2.0    1.0    1.0   -4.0   31.0    0.0   26.2   27.9    3.9 1988.7
  12         3.2    0.2    0.2    2.2   -2.8   31.8    0.0   27.1   27.8   10.4 2104.0
  12         1.8   -0.2   -1.2    1.8   -0.2   33.2    0.0   27.0   27.7   11.4 2157.0
  12         8.0    0.0   -1.0    3.0   -2.0   32.0    0.0   26.9   27.4   10.8 2184.7
  12         6.8    0.8    0.8   -2.2    0.8   38.2    5.0   26.8   27.3   12.7 2220.3
  12         2.8    0.8    1.8   -0.2   -2.2   37.2    5.0   27.2   27.5   17.6 2286.0
  12       -11.0    0.0    0.0    3.0   -3.0   51.0   10.0   27.4   27.6   21.3 2295.3
  12       -10.0   -1.0    0.0    1.0    0.0   50.0   10.0   27.2   27.5   17.3 2317.3
  12        -5.0   -2.0   -3.0    5.0    0.0   40.0   -5.0   28.2   26.7   17.1 2223.7
  12        -3.5    1.5    1.5   -0.5   -2.5   38.5    0.0   28.3   26.6   18.2 2215.0
  12        -3.0    1.0    1.0   -2.0    0.0   38.0    0.0   28.4   26.6   16.9 2199.0
  12         2.0    0.0   -1.0    1.0    0.0   33.0   -5.0   28.5   26.6   12.3 2189.0
  12         1.5    1.5    1.5   -1.5   -1.5   33.5    0.0   28.7   26.5   10.8 2175.0
  12         1.0    2.0    1.0   -3.0    0.0   34.0    0.0   29.5   26.1    9.1 2132.7
  12         0.2    1.2    0.2   -0.8   -0.8   34.8    0.0   30.0   26.1    8.6 2110.0
  12        -5.8    2.2    4.2   -5.8   -0.8   55.8   15.0   23.0   29.2   19.2  155.0
  12       -13.5   -1.5    1.5    2.5   -2.5   58.5   10.0   23.8   29.4   20.8  251.0
  12       -10.2   -2.2    0.8    3.8   -2.2   55.2    5.0   24.6   29.4   25.7  339.3
  12       -10.8   -1.8   -1.8    3.2    0.2   55.8    0.0   25.3   29.2   24.9  374.3
  12        -3.8   -1.8   -3.8    3.2    2.2   43.8  -10.0   25.8   29.2   22.1  367.7
  12        -2.8    0.2   -0.8    2.2   -1.8   42.8   -5.0   26.4   29.1   24.5  301.7
  12        -1.2    1.8    1.8   -1.2   -2.2   41.2    0.0   26.6   29.1   28.5  279.0
  12         5.0    3.0   -1.0   -1.0   -1.0   30.0  -10.0   27.1   28.9   26.5  226.3
  12        -1.8    2.2   -1.8    0.2   -0.8   31.8  -10.0   28.1   28.7   23.5  136.3
  12        -9.8    1.2    0.2    0.2   -1.8   34.8    0.0   28.4   28.6   23.4  106.3
  12        -1.5   -0.5    0.5    3.5   -3.5   41.5   10.0   29.2   27.3   14.2 1662.3
  12         6.8   -1.2   -2.2    3.8   -0.2   38.2    0.0   29.5   27.2   15.1 1753.0
  12         7.2   -0.8   -2.8    3.2    0.2   37.8    0.0   29.6   27.1   15.3 1822.0
  12        -3.0    2.0    3.0   -3.0   -2.0   48.0   10.0   29.6   27.1   16.3 1875.3
  12        -1.8    0.2    0.2    1.2   -1.8   46.8    5.0   29.5   27.2   20.4 1909.0
  12        -4.0    0.0   -1.0    1.0    0.0   44.0    0.0   29.6   27.2   25.4 1922.7
  12        -6.5    0.5    0.5    0.5   -1.5   41.5    0.0   29.8   26.8   27.5 1912.3
  12        -5.5    0.5   -0.5    0.5   -0.5   35.5   -5.0   29.8   26.8   29.8 1922.3
  12        -6.2   -0.2   -1.2    1.8   -0.2   36.2   -5.0   29.6   26.9   30.7 1949.0
  12         5.5    4.5    2.5   -2.5   -4.5   49.5    5.0   30.1   24.9   24.1 1731.0
  12         5.5    3.5    1.5   -2.5   -2.5   49.5    0.0   30.7   24.5   18.6 1695.3
  12         1.0    2.0    1.0    0.0   -3.0   49.0    0.0   31.7   24.1   14.0 1629.0
